"","t","POL","IMP","n","damn","gnipc","gni","income"
"118",3,"bau","burkesr","phl",0.0223970469994329,3640.24593051905,0.00434212036352462,"low-middle"
"119",3,"bau","burkesr","pol",-0.0162402163635146,16672.9816246712,0.0067663062536521,"high"
"120",3,"bau","burkesr","prt",0.00271404371796073,23729.0747916988,0.00262517557480791,"high"
"121",3,"bau","burkesr","pry",0.00201076388544251,5338.19020586285,0.000413975177753472,"middle"
"122",3,"bau","burkesr","qat",0.00852691556199171,57117.5669679651,0.00179795838952715,"high"
"123",3,"bau","burkesr","rou",-0.00584288093758277,14170.6053036846,0.00290958249866445,"high"
"124",3,"bau","burkesr","row",0.0175799668616894,3089.22186389752,0.00410751974542052,"low-middle"
"125",3,"bau","burkesr","rus",-0.116799267014197,11799.5417412008,0.0181810273261775,"middle"
"126",3,"bau","burkesr","rwa",0.000600201451751395,847.967212403411,0.000120928278533053,"low"
"127",3,"bau","burkesr","sau",0.0500869037523098,21942.4931728525,0.00832962649958218,"high"
"128",3,"bau","burkesr","sdn",0.00670980381353633,665.944667311184,0.00032124736868996,"low"
"129",3,"bau","burkesr","sen",0.00183607725158574,1538.90050536839,0.000284256504946353,"low-middle"
"130",3,"bau","burkesr","sgp",0.0136096101470078,64013.3193397069,0.00374986450566165,"high"
"131",3,"bau","burkesr","slb",3.69856757993588e-05,2303.0303516701,1.74154175203147e-05,"low-middle"
"132",3,"bau","burkesr","sle",0.000363291414868216,509.779893436818,4.45803433435446e-05,"low"
"133",3,"bau","burkesr","slv",0.00153907939313649,4140.49038486121,0.000289910606745193,"low-middle"
"134",3,"bau","burkesr","srb",-0.00102638737514518,8436.70405909382,0.000620229502139511,"middle"
"135",3,"bau","burkesr","stp",2.30338486045728e-05,2283.95251504164,5.4798024636005e-06,"low-middle"
"136",3,"bau","burkesr","sur",0.000255446738509114,4439.73990677196,2.82225126420561e-05,"middle"
"137",3,"bau","burkesr","svk",-0.00221698215819469,20249.0141673098,0.00118480153220678,"high"
"138",3,"bau","burkesr","svn",-0.000897215853966537,28237.9872320448,0.000639093455852059,"high"
"139",3,"bau","burkesr","swe",-0.00964244038257083,58887.596266906,0.00658842448571256,"high"
"140",3,"bau","burkesr","swz",0.000136090862897079,3677.5716850398,4.63116364930929e-05,"low-middle"
"141",3,"bau","burkesr","tcd",0.0008477363020101,653.944637405602,0.000118816636561149,"low"
"142",3,"bau","burkesr","tgo",0.000569097764902302,979.439847421761,8.91965860131964e-05,"low"
"143",3,"bau","burkesr","tha",0.0341120436488604,7255.93934843219,0.00545194238035691,"middle"
"144",3,"bau","burkesr","tjk",-0.000883444664891787,1151.27851360729,0.000120568252334642,"low-middle"
"145",3,"bau","burkesr","tls",0.000141591908123115,1939.91291505034,2.80030775940129e-05,"low-middle"
"146",3,"bau","burkesr","tto",0.000723660822625326,15073.1552190958,0.000227217748522541,"high"
