"","t","POL","IMP","n","resp","income","comp","compc","compr","share","sharepop","yp"
"1153",3,"bau","kalkuhl","hti","share15","low-middle",0.112976034478801,9.40683051447136,0.00310190578420365,8.6016675810572e-05,0.00147411160534559,3032.59710929175
"1154",3,"bau","kalkuhl","hti","share50","low-middle",0.126792843877982,10.5572725960018,0.00348126447910102,5.26223846532447e-05,0.00147411160534559,3032.59710929175
"1155",3,"bau","kalkuhl","hti","share90","low-middle",0.119072764166608,9.9144682903087,0.00326929952545664,7.12812936814527e-05,0.00147411160534559,3032.59710929175
"1156",3,"bau","kalkuhl","hun","share15","high",0.230852069283292,23.460576146676,0.000571347814966581,0.00122419313197809,0.00120776504551212,41061.8112682346
"1157",3,"bau","kalkuhl","hun","share50","high",-0.393916511119078,-40.032165764134,-0.000974924498644871,0.00273421641428117,0.00120776504551212,41061.8112682346
"1158",3,"bau","kalkuhl","hun","share90","high",-0.0136941284803616,-1.39167972361399,-3.38923121175268e-05,0.00181524470500051,0.00120776504551212,41061.8112682346
"1159",3,"bau","kalkuhl","idn","share15","low-middle",9.99640043673756,35.4482284990694,0.00234182146496571,0.0182559701727244,0.0346127787433352,15137.0328735066
"1160",3,"bau","kalkuhl","idn","share50","low-middle",13.1122436150043,46.4973177837032,0.00307175905425194,0.0107251885508992,0.0346127787433352,15137.0328735066
"1161",3,"bau","kalkuhl","idn","share90","low-middle",11.1151820403313,39.4155391501111,0.00260391448439658,0.0155519509210665,0.0346127787433352,15137.0328735066
"1162",3,"bau","kalkuhl","ind","share15","low-middle",33.1307323926951,22.7763678186559,0.00259637979441067,0.0670074656866887,0.178539340737031,8772.35598108083
"1163",3,"bau","kalkuhl","ind","share50","low-middle",45.6041753332632,31.3514793197236,0.00357389501604116,0.0368600001425565,0.178539340737031,8772.35598108083
"1164",3,"bau","kalkuhl","ind","share90","low-middle",38.8465885913396,26.7058445846925,0.00304431838405652,0.0531926289471539,0.178539340737031,8772.35598108083
"1165",3,"bau","kalkuhl","irl","share15","high",0.070754526111084,13.7121174633884,0.000115271597337836,0.00100867621219856,0.000633340206792942,118954.8664204
"1166",3,"bau","kalkuhl","irl","share50","high",-0.0457848971539788,-8.87304208410442,-7.4591669522339e-05,0.00129034409364529,0.000633340206792942,118954.8664204
"1167",3,"bau","kalkuhl","irl","share90","high",-0.0600992577952283,-11.6471429835714,-9.79122866853474e-05,0.00132494093240701,0.000633340206792942,118954.8664204
"1168",3,"bau","kalkuhl","irn","share15","low-middle",-2.66827245198751,-29.5130234707169,-0.00178874534921092,0.0178852905753087,0.0110969550573934,16499.2873265812
"1169",3,"bau","kalkuhl","irn","share50","low-middle",-0.0814205690220114,-0.900570390686997,-5.45823812181348e-05,0.0116330450340368,0.0110969550573934,16499.2873265812
"1170",3,"bau","kalkuhl","irn","share90","low-middle",-2.07269261949122,-22.9254796979451,-0.0013894830270039,0.016445814516893,0.0110969550573934,16499.2873265812
"1171",3,"bau","kalkuhl","irq","share15","middle",-0.102953961662423,-2.1651726953191,-0.000203426114011424,0.00616373638266916,0.00583630364980705,10643.5336772815
"1172",3,"bau","kalkuhl","irq","share50","middle",1.14954434990131,24.1754858023408,0.00227137777126999,0.00313653291752616,0.00583630364980705,10643.5336772815
"1173",3,"bau","kalkuhl","irq","share90","middle",0.600143449586487,12.6213133456674,0.00118581983468587,0.00446439762906361,0.00583630364980705,10643.5336772815
"1174",3,"bau","kalkuhl","isl","share15","high",-0.0727825679134553,-191.533073456461,-0.003102854081078,9.11016395187108e-05,4.6641333058395e-05,61728.0311776435
"1175",3,"bau","kalkuhl","isl","share50","high",-0.0753866656206968,-198.385962159728,-0.00321387153251017,9.73955670475155e-05,4.6641333058395e-05,61728.0311776435
"1176",3,"bau","kalkuhl","isl","share90","high",-0.0774790104341756,-203.892132721515,-0.00330307202144104,0.000102452622543047,4.6641333058395e-05,61728.0311776435
"1177",3,"bau","kalkuhl","isr","share15","high",0.944311654308157,95.0968433341548,0.00200013285849441,0.00188405033840338,0.00121881167702595,47545.2632710303
"1178",3,"bau","kalkuhl","isr","share50","high",1.10415638103507,111.193996076039,0.00233869766252384,0.00149771647578251,0.00121881167702595,47545.2632710303
"1179",3,"bau","kalkuhl","isr","share90","high",0.865034108975492,87.1132033207948,0.00183221623622544,0.00207565878826984,0.00121881167702595,47545.2632710303
"1180",3,"bau","kalkuhl","ita","share15","high",2.39429135894434,41.033270933065,0.000854473750620157,0.00885116346393316,0.0071618994314667,48021.6869193279
